model: efficientnet-b1, lr: 0.0001. batchsize: 16, kfold: 3, epoch: 150

kfold: 1, epoch: 1. train_loss: 0.6540897322208892, train_acc: 76.6054402692092. val_loss: 0.47459799390403146, val_acc: 83.58334501612225
kfold: 1, epoch: 2. train_loss: 0.4038655373263653, train_acc: 85.90157038698823. val_loss: 0.5345059927018367, val_acc: 81.91504275900743
kfold: 1, epoch: 3. train_loss: 0.27878213635407756, train_acc: 90.220134604599. val_loss: 0.5159585825898455, val_acc: 84.34038973783822
kfold: 1, epoch: 4. train_loss: 0.1880891203145275, train_acc: 93.52215367358384. val_loss: 0.6306609504025079, val_acc: 81.7468105986261
kfold: 1, epoch: 5. train_loss: 0.11189875716652571, train_acc: 96.4385866517106. val_loss: 0.6371668875217438, val_acc: 84.28431235104443
kfold: 1, epoch: 6. train_loss: 0.08475537120778064, train_acc: 97.23079080201907. val_loss: 0.7308534888609108, val_acc: 83.35903546894714
kfold: 1, epoch: 7. train_loss: 0.06449873347019133, train_acc: 97.86876051598429. val_loss: 0.7743221722676882, val_acc: 84.14411888406
kfold: 1, epoch: 8. train_loss: 0.061442513135783874, train_acc: 97.96690970274818. val_loss: 0.7736983884777456, val_acc: 82.65806813402496
kfold: 1, epoch: 9. train_loss: 0.049790425368087705, train_acc: 98.31744251261918. val_loss: 0.8759048845568848, val_acc: 83.38707416234404
kfold: 1, epoch: 10. train_loss: 0.04213411265341022, train_acc: 98.6399326977005. val_loss: 0.8149130493736588, val_acc: 83.17678396186737
kfold: 1, epoch: 11. train_loss: 0.04190705409231742, train_acc: 98.62591138530567. val_loss: 0.9275441958731867, val_acc: 83.97588672367867
kfold: 1, epoch: 12. train_loss: 0.03576890580907397, train_acc: 98.78715647784632. val_loss: 0.9225979076172204, val_acc: 84.4946025515211
kfold: 1, epoch: 13. train_loss: 0.033883982609473, train_acc: 98.84324172742569. val_loss: 0.9135840306300753, val_acc: 84.70489275199776
kfold: 1, epoch: 14. train_loss: 0.031526118324810615, train_acc: 98.89231632080762. val_loss: 0.8867247195438286, val_acc: 84.06000280386934
kfold: 1, epoch: 15. train_loss: 0.028732909549512135, train_acc: 99.09562535053281. val_loss: 0.9495718941727294, val_acc: 82.46179728024674
